"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Host"
"31",20.3,142,40,7587,393,42,351,298,233,303,110,136,23,1,48,51,9,39,42,"Mojavia_pulchra"
"32",21,141,39,7683,400,47,353,306,242,312,116,120,21,1,48,46,8,35,37,"Hassallia_sp."
"33",21.2,140,40,7626,399,49,350,308,243,313,119,119,21,1,53,46,7,35,37,"Spirirestis_raphaelensis"
"34",8.5,145,35,8742,309,-95,404,70,202,202,-23,379,42,24,19,122,75,75,86,"Gloeocapsa_sp."
"35",8.9,170,43,7764,303,-92,395,185,123,192,-8,294,40,11,27,97,46,80,76,"Cyanomargarita_calcarea"
"36",7,165,41,7844,282,-113,395,167,104,173,-28,296,44,12,31,106,48,88,69,"Aphanothece_saxicola"
"37",8.3,155,39,8085,292,-98,390,182,119,189,-19,270,40,11,31,96,43,80,64,"Kaiparowitsia_implicata"
"38",11.8,148,37,8667,331,-67,398,222,159,231,7,173,25,7,29,60,28,50,42,"Pegethrix_bostrychoides"
"39",9.9,155,38,8481,313,-89,402,202,139,210,-8,229,34,9,31,82,37,67,51,"Timaviella_obliquedivisa"
"40",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46,"Aphanocapsa_sp."
"41",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46,"Pleurocapsa_minor_2"
"42",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46,"Tolypothrix_brevis"
"43",8.4,160,39,8537,301,-106,407,171,-22,197,-22,365,63,8,59,170,26,145,26,"Symplocastrum_torsivum"
"44",10.8,131,40,7051,266,-58,324,105,114,196,14,1423,146,94,10,388,312,374,349,"Rexia_erecta"
"45",16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324,"Aetokthonos_hydrillicola"
"46",15,97,58,2404,238,71,167,125,181,181,120,66,18,0,108,46,0,0,44,"Myxacorys_chilensis"
"47",18.7,90,54,2484,270,104,166,154,219,219,154,17,5,0,90,13,0,0,13,"Kastovskya_adunca"
"48",14.9,105,58,2685,239,59,180,114,182,183,114,30,11,0,125,26,0,0,26,"Trichocoleus_desertorum"
"49",16.6,110,58,2812,262,73,189,201,168,201,128,3,2,0,60,3,0,3,0,"Trichormus_sp."
"50",9.1,77,30,6341,232,-24,256,171,21,171,9,1102,134,65,27,387,203,387,207,"Tildeniella_nuda"
"51",6.2,95,32,7132,219,-75,294,152,-18,152,-31,967,132,47,36,375,159,375,159,"Oscillatoria_princeps"
"52",5.2,94,31,7123,202,-94,296,125,-32,140,-43,779,114,36,41,306,111,306,114,"Drouetiella_hepatica"
"53",5.2,94,31,7123,202,-94,296,125,-32,140,-43,779,114,36,41,306,111,306,114,"Tildeniella_torsiva"
