sample_name,culture_ID,cluster,size,longest_contig,n50,contigs,completeness,purity,av_cov,av_gc,kingdom,phylum,class,order,family,genus,species,taxid,Habitat,Location ,Continent,Substrate,Lat,Long,Altitude,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
sa011,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_5,5650744,630350,420832,20,99.28057554,97.18309859,208.3211897,65.5409447,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,unclassified,unclassified,69277,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa012,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round1_2,3988810,574805,388742,21,99.28057554,98.57142857,32.71953339,67.3773381,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified,unclassified,31989,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa013,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_11,3039426,539055,236588,22,99.28057554,99.28057554,51.14439009,69.04981401,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,unclassified,1241326,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa014,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_12,3761772,412322,197473,24,97.84172662,98.55072464,358.3266928,70.37066574,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,unclassified,unclassified,Phycisphaerales bacterium,2052180,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa015,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_7,6544903,1362654,368860,31,97.12230216,98.54014599,106.4371174,65.13384538,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Humisphaera,Humisphaera borealis,2807512,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa016,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round3_5,6477761,581503,347531,34,97.84172662,100,23.48030762,64.56680016,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,unclassified,374,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa017,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_8,8316277,1215991,279783,52,97.12230216,95.74468085,136.9544776,69.32266686,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Frigoriglobus,Frigoriglobus tundricola,2774151,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa018,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round5_0,4079025,1451712,1101034,57,27.3381295,95,42.42825577,68.29190799,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Alsobacteraceae,Alsobacter,Alsobacter metallidurans,340221,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa019,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_13,5279678,304832,150580,58,95.68345324,99.25373134,19.7093872,64.60935686,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. KVB221,2801340,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa020,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round1_4,5646248,586027,192814,60,97.84172662,98.55072464,32.93554127,36.61837029,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga rosea,2704465,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa021,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round3_0,5675274,2433386,691906,65,97.84172662,93.15068493,54.29576211,55.80972831,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified,Rhodospirillaceae bacterium,1898112,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa022,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round1_3,9546647,631503,167421,92,100,94.55782313,53.56933602,40.81171117,Bacteria,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,unclassified,1177,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa023,Aetokthonos_hydrillicola_B3-Florida,unclustered,1837585,144869,15459,110,30.9352518,95.55555556,27.45812466,59.50494807,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,unclassified,unclassified,563835,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa024,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round3_11,90611,90611,90611,1,33.81294964,100,56.10446855,63.67438832,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia sp. P52-10,1429916,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa025,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round4_4,203154,203154,203154,1,23.02158273,100,262.315854,65.56503933,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. LC81,1502850,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa026,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round3_20,50726,50726,50726,1,33.81294964,100,8.314670977,62.16141624,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified,Rhizobiales bacterium 62-47,1895811,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa027,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round3_0,3254831,1389929,695372,6,98.56115108,97.85714286,69.26446319,65.01065647,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis solisilvae,1886788,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa028,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round3_2,2332937,898176,401884,8,57.55395683,98.7654321,256.7533392,66.14276339,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. RIFCSPHIGHO2_12_FULL_65_19,1802172,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa029,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round2_2,3790027,667889,508210,12,99.28057554,97.87234043,202.376315,67.41445378,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,unclassified,83618,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa030,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_10,3027447,413782,364315,14,99.28057554,100,56.86153019,31.05610106,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium gelidilacus,206041,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa031,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round81_0,3783391,927869,469596,15,78.41726619,94.7826087,64.70026254,65.41959316,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. LC81,1502850,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa032,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_1,4670263,1456109,886122,16,99.28057554,98.57142857,72.42819858,67.87502117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea sp. PAMC 26642,1792307,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa033,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_0,5131942,1771220,907828,19,94.24460432,100,39.21041391,65.29952989,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium australicum,536018,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa034,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_4,5386607,1147201,703515,20,97.84172662,99.27007299,26.51735387,47.69106044,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus aestuariicola,1852016,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa035,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_9,2581003,455185,248305,20,84.17266187,99.15254237,570.1414675,69.62250722,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas fluminis,2487274,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa036,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round3_3,4961304,673013,194342,26,56.83453237,96.34146341,59.1214598,64.02222077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia sp. P52-10,1429916,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa037,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_3,5626650,1259321,251184,30,100,97.2027972,114.7842935,65.26718385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia insulae,408174,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa038,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_5,5623748,700313,447283,35,98.56115108,99.27536232,14.21358905,63.37204299,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium sp. CS1BSMeth3,1892844,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa039,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_8,5451788,550109,212125,43,95.68345324,97.08029197,110.762165,63.65709745,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aminovorans,83263,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa040,Aphanocapsa_lilacina_HA4352-LM1,unclustered,4561881,411225,117341,65,39.56834532,84.61538462,110.7371641,64.55650641,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,unclassified,165697,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa041,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_11,4198540,212396,57639,99,97.12230216,99.26470588,845.6062441,62.40824191,Bacteria,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus,33072,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa042,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round2_4,8822839,353185,150663,108,82.01438849,99.13043478,20.0163155,69.35266528,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,34073,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa043,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_12,3478461,121039,39661,111,69.78417266,97.97979798,8.031341447,66.26740964,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas gilva,2305907,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa044,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round2_3,8182277,648901,102058,125,65.4676259,95.78947368,21.72929504,62.63673303,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,unclassified,374,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa045,Aphanocapsa_lilacina_HA4352-LM1,DBSCAN_round1_13,2839176,70738,21462,144,77.69784173,96.42857143,6.307504713,72.52255584,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides eburneiflavus,2518372,Cave_rock_wall,HI_USA,PacificIslands,subareial,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911
sa046,Aphanocapsa_sp._GSE-SYN-MK-11-07L,DBSCAN_round1_1,4828128,901839,471229,24,97.84172662,99.27007299,48.97709009,46.61891731,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. LHK132,2498451,Desert_wet_wall,UT_USA,NorthAmerica,subareial,37.8291,-111.42,1755,Cyanobacteria,unclassified,Synechococcales,unclassified,unclassified,"""Aphanocapsa"" sp.",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46
sa047,Aphanocapsa_sp._GSE-SYN-MK-11-07L,DBSCAN_round1_0,5105314,210837,39852,159,96.4028777,96.4028777,1197.142652,50.23311005,Bacteria,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7425,395961,Desert_wet_wall,UT_USA,NorthAmerica,subareial,37.8291,-111.42,1755,Cyanobacteria,unclassified,Synechococcales,unclassified,unclassified,"""Aphanocapsa"" sp.",10.2,155,38,8580,317,-88,405,206,142,214,-7,220,33,9,32,81,37,66,46
sa048,Aphanothece_saxicola_GSE-SYN-MK-01-06B,DBSCAN_round2_0,3287523,1264468,949384,5,100,99.28571429,42.01443731,64.32237889,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter ramosus,35811,Desert_wet_wall,UT_USA,NorthAmerica,subareial,37.6093,-111.8978,2043,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,165,41,7844,282,-113,395,167,104,173,-28,296,44,12,31,106,48,88,69
