,Name,Host,genome,Label,Domain,Phylum,Class,Order,Family,Genus,Species,Present,Habitat3,Habitat2,Habitat,Substrate,Parentmaterial,Location,Continent,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Annual_Mean_Temperature,Annual_Precipitation,Altitude
12,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.001.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.001,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
13,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.017.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.017,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__UBA1930,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
14,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.011.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.011,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
15,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.007.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.007,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
16,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.009.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.009,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
17,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.001.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.001,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Gloeobacterales,f__Gloeobacteraceae,g__Gloeobacter,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
18,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.016.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.016,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,f__UBA6265,g__JACCYX01,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
19,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.010.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.010,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
20,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.017.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.017,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
21,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.004.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.004,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
22,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.003.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.003,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
23,Aphanocapsa lilacina,Aphanocapsa_lilacina,Bin.012.fastaAphanocapsa_lilacina_assembly,ApLi_Bin.012,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,s__Variovorax sp900115375,1,tropical,rock_wall,cave rock wall,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
24,Aphanocapsa sp.,Aphanocapsa_sp.,Bin.001.fastaAphanocapsa_sp_assembly,ApSp1_Bin.001,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Thermosynechococcales,f__Thermosynechococcaceae,g__,s__,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Acaryochloridales,unclassified,Aphanocapsa,"""Aphanocapsa"" sp.",10.2,220,1755
25,Aphanocapsa sp.,Aphanocapsa_sp.,Bin.002.fastaAphanocapsa_sp_assembly,ApSp1_Bin.002,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pararheinheimera,s__,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Acaryochloridales,unclassified,"""Aphanothece"" ","""Aphanocapsa"" sp.",10.2,220,1755
26,Aphanothece saxicola,Aphanothece_saxicola,Bin.001.fastaAphanothece_saxicola_assembly,ApSa_Bin.001,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Cyanobium,s__,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,"""Aphanothece"" ","""Aphanothece saxicola""",7,296,2043
27,Aphanothece saxicola,Aphanothece_saxicola,Bin.003.fastaAphanothece_saxicola_assembly,ApSa_Bin.003,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter,s__Erythrobacter ramosus,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,296,2043
28,Aphanothece saxicola,Aphanothece_saxicola,Bin.004.fastaAphanothece_saxicola_assembly,ApSa_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Gemmobacter,s__,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,296,2043
29,Aphanothece saxicola,Aphanothece_saxicola,Bin.002.fastaAphanothece_saxicola_assembly,ApSa_Bin.002,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__,1,desert,wet_wall,desert wet wall,subaerial,,"Utah,
USA",North America,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,296,2043
30,Aphanothece sp.,Aphanothece_sp.,Bin.003.fastaAphanothece_sp_assembly,ApSp2_Bin.003,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
31,Aphanothece sp.,Aphanothece_sp.,Bin.006.fastaAphanothece_sp_assembly,ApSp2_Bin.006,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Chamaesiphonaceae,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
32,Aphanothece sp.,Aphanothece_sp.,Bin.005.fastaAphanothece_sp_assembly,ApSp2_Bin.005,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
33,Aphanothece sp.,Aphanothece_sp.,Bin.008.fastaAphanothece_sp_assembly,ApSp2_Bin.008,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__JACCTI01,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
34,Aphanothece sp.,Aphanothece_sp.,Bin.004.fastaAphanothece_sp_assembly,ApSp2_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
35,Aphanothece sp.,Aphanothece_sp.,Bin.002.fastaAphanothece_sp_assembly,ApSp2_Bin.002,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ramlibacter,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
36,Aphanothece sp.,Aphanothece_sp.,Bin.001.fastaAphanothece_sp_assembly,ApSp2_Bin.001,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
37,Brasilonema angustatum,Brasilonema_angustatum,Bin.004.fastaBrasilonema_angustatum_assembly,BaAn_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__,1,tropical,tropical_soil,tropical soil,soil,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
38,Brasilonema angustatum,Brasilonema_angustatum,Bin.003.fastaBrasilonema_angustatum_assembly,BaAn_Bin.003,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Brasilonema,s__,1,tropical,tropical_soil,tropical soil,soil,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
39,Brasilonema angustatum,Brasilonema_angustatum,Bin.001.fastaBrasilonema_angustatum_assembly,BaAn_Bin.001,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__,1,tropical,tropical_soil,tropical soil,soil,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
40,Brasilonema angustatum,Brasilonema_angustatum,Bin.002.fastaBrasilonema_angustatum_assembly,BaAn_Bin.002,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,s__Mesorhizobium terrae,1,tropical,tropical_soil,tropical soil,soil,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
41,Brasilonema angustatum,Brasilonema_angustatum,Bin.005.fastaBrasilonema_angustatum_assembly,BaAn_Bin.005,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Spirosoma,s__,1,tropical,tropical_soil,tropical soil,soil,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
42,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.001.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.001,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__JAAFIG01,g__,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
43,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.006.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.006,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
44,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.003.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.003,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Brasilonema,s__Brasilonema octagenarum,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
45,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.005.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.005,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
46,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.008.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.008,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
47,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.010.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.010,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
48,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.004.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
49,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.002.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.002,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
50,Brasilonema octagenarum,Brasilonema_octagenarum,Bin.007.fastaBrasilonema_octagenarum_assembly,BaOc_Bin.007,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,1,tropical,wood,on wood in tropics,subaerial,,"Hawaii,
USA",Pacific Islands,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
51,Calothrix sp.,Calothrix_sp.,Bin.004.fastaCalothrix_sp_assembly,CaSp_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Allorhizobium,s__,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
52,Calothrix sp.,Calothrix_sp.,Bin.001.fastaCalothrix_sp_assembly,CaSp_Bin.001,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Calothrix,s__,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
53,Calothrix sp.,Calothrix_sp.,Bin.006.fastaCalothrix_sp_assembly,CaSp_Bin.006,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
54,Calothrix sp.,Calothrix_sp.,Bin.002.fastaCalothrix_sp_assembly,CaSp_Bin.002,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter,s__,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
55,Calothrix sp.,Calothrix_sp.,Bin.005.fastaCalothrix_sp_assembly,CaSp_Bin.005,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__Pseudomonas_E chengduensis,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
56,Calothrix sp.,Calothrix_sp.,Bin.003.fastaCalothrix_sp_assembly,CaSp_Bin.003,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__,1,desert,desert_soil,desert soil,soil,granitic,"California,
USA",North America,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
57,Chroococcus sp.,Chroococcus_sp.,Bin.004.fastaChroococcus_sp_assembly,ChSp_Bin.004,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,162,1084
58,Chroococcus sp.,Chroococcus_sp.,Bin.007.fastaChroococcus_sp_assembly,ChSp_Bin.007,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__UBA1161,f__UBA1161,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,162,1084
59,Chroococcus sp.,Chroococcus_sp.,Bin.008.fastaChroococcus_sp_assembly,ChSp_Bin.008,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__GCA-002748415,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,162,1084
60,Chroococcus sp.,Chroococcus_sp.,Bin.016.fastaChroococcus_sp_assembly,ChSp_Bin.016,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__,s__,1,desert,desert_soil,desert soil,soil,dolomite,"California,
USA",North America,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,162,1084
